GWI_ID,Date_time,Num_etape,DTW_1,DTW_2,Tape_error,Comments,original_timestamp_ms,timestamp_utc,timestamp_local
TN017_000004,2021-08-16 17:57:00.000,1_275959,33.56,33.56,-0.12,Captured by Sri ,1629136620000,2021-08-16 17:57:00,2021-08-16 12:57:00 -0500
TN017_000004,2021-08-16 18:27:00.000,1_275959,33.5,33.5,-0.12,Captured by Sri ,1629138420000,2021-08-16 18:27:00,2021-08-16 13:27:00 -0500
TN017_000004,2021-08-24 16:07:00.000,1_275959,28.04,28.04,-0.11,Captured by Sri ,1629821220000,2021-08-24 16:07:00,2021-08-24 11:07:00 -0500
TN017_000003,2021-08-24 17:07:00.000,1_275959,69.24,69.24,-0.17,Captured later by Sri ,1629824820000,2021-08-24 17:07:00,2021-08-24 12:07:00 -0500
TN017_000004,2021-09-14 16:57:00.000,1_275959,34.0,34.0,-0.12,Captured by Sri ,1631638620000,2021-09-14 16:57:00,2021-09-14 11:57:00 -0500
TN017_000004,2021-09-14 17:00:00.000,1_275959,33.99,33.99,-0.12,Captured by Sri ,1631638800000,2021-09-14 17:00:00,2021-09-14 12:00:00 -0500
TN017_000004,2021-09-14 17:04:00.000,1_275959,33.98,33.98,-0.12,Captured by Sri ,1631639040000,2021-09-14 17:04:00,2021-09-14 12:04:00 -0500
TN017_000004,2021-09-14 17:09:00.000,1_275959,33.98,33.98,-0.12,Captured by Sri ,1631639340000,2021-09-14 17:09:00,2021-09-14 12:09:00 -0500
TN017_000004,2021-09-14 17:10:00.000,1_275959,33.98,33.98,-0.12,Captured by Sri ,1631639400000,2021-09-14 17:10:00,2021-09-14 12:10:00 -0500
TN017_000004,2021-09-14 17:15:00.000,1_275959,33.98,33.98,-0.12,Captured by Sri ,1631639700000,2021-09-14 17:15:00,2021-09-14 12:15:00 -0500
TN017_000004,2021-09-14 17:20:00.000,1_275959,33.97,33.97,-0.12,Captured by Sri ,1631640000000,2021-09-14 17:20:00,2021-09-14 12:20:00 -0500
TN017_000004,2021-09-14 17:25:00.000,1_275959,33.96,33.96,-0.12,Captured by Sri ,1631640300000,2021-09-14 17:25:00,2021-09-14 12:25:00 -0500
TN017_000004,2021-09-14 17:30:00.000,1_275959,33.95,33.95,-0.12,Captured by Sri ,1631640600000,2021-09-14 17:30:00,2021-09-14 12:30:00 -0500
TN017_000004,2021-09-14 17:35:00.000,1_275959,33.94,33.94,-0.12,Captured by Sri ,1631640900000,2021-09-14 17:35:00,2021-09-14 12:35:00 -0500
TN017_000004,2021-09-14 17:40:00.000,1_275959,33.94,33.94,-0.12,Captured by Sri ,1631641200000,2021-09-14 17:40:00,2021-09-14 12:40:00 -0500
TN017_000004,2021-09-14 17:45:00.000,1_275959,33.93,33.93,-0.12,Captured by Sri ,1631641500000,2021-09-14 17:45:00,2021-09-14 12:45:00 -0500
TN017_000004,2021-09-14 17:50:00.000,1_275959,33.93,33.93,-0.12,Captured by Sri ,1631641800000,2021-09-14 17:50:00,2021-09-14 12:50:00 -0500
TN017_000004,2021-09-14 17:55:00.000,1_275959,33.92,33.92,-0.12,Captured by Sri ,1631642100000,2021-09-14 17:55:00,2021-09-14 12:55:00 -0500
TN017_000004,2021-09-14 18:00:00.000,1_275959,33.9,33.9,-0.12,Captured by sri,1631642400000,2021-09-14 18:00:00,2021-09-14 13:00:00 -0500
TN017_000004,2021-09-14 18:01:00.000,1_275959,33.9,33.9,-0.12,Captured by Sri ,1631642460000,2021-09-14 18:01:00,2021-09-14 13:01:00 -0500
TN017_000004,2021-09-28 19:06:00.000,1_275959,28.17,28.17,-0.11,Captured by Sri,1632855960000,2021-09-28 19:06:00,2021-09-28 14:06:00 -0500
TN017_000004,2021-09-28 19:15:00.000,1_275959,28.17,28.17,-0.11,Captured by Sri ,1632856500000,2021-09-28 19:15:00,2021-09-28 14:15:00 -0500
TN017_000004,2021-09-28 19:24:00.000,1_275959,28.18,28.18,-0.11,Captured by Sri ,1632857040000,2021-09-28 19:24:00,2021-09-28 14:24:00 -0500
TN017_000004,2021-09-28 19:31:00.000,1_275959,28.18,28.18,-0.11,Captured by Sri ,1632857460000,2021-09-28 19:31:00,2021-09-28 14:31:00 -0500
TN017_000003,2021-09-28 20:27:00.000,1_275959,69.2,69.2,-0.17,Captured later by Sri ,1632860820000,2021-09-28 20:27:00,2021-09-28 15:27:00 -0500
TN069_000495,2021-10-06 21:00:00.000,1_275959,6.35,6.35,0.0,Unknown E Tape. Captured by Sri,1633554000000,2021-10-06 21:00:00,2021-10-06 16:00:00 -0500
TN017_000004,2021-10-06 15:40:00.000,1_275959,29.58,29.58,-0.11,Captured by Sri ,1633534800000,2021-10-06 15:40:00,2021-10-06 10:40:00 -0500
TN017_000004,2021-10-06 15:45:00.000,1_275959,29.56,29.56,-0.11,Captured by Sri ,1633535100000,2021-10-06 15:45:00,2021-10-06 10:45:00 -0500
TN017_000004,2021-10-06 15:50:00.000,1_275959,29.51,29.51,0.0,Captured by Sri ,1633535400000,2021-10-06 15:50:00,2021-10-06 10:50:00 -0500
TN017_000004,2021-10-06 15:55:00.000,1_275959,29.51,29.51,-0.11,Captured by Sri ,1633535700000,2021-10-06 15:55:00,2021-10-06 10:55:00 -0500
TN017_000004,2021-10-06 16:00:00.000,1_275959,29.49,29.49,-0.11,Captured by Sri ,1633536000000,2021-10-06 16:00:00,2021-10-06 11:00:00 -0500
TN017_000004,2021-10-06 16:05:00.000,1_275959,29.49,29.49,-0.11,Captured by Sri ,1633536300000,2021-10-06 16:05:00,2021-10-06 11:05:00 -0500
TN017_000004,2021-10-06 16:10:00.000,1_275959,29.49,29.49,-0.11,Captured by Sri ,1633536600000,2021-10-06 16:10:00,2021-10-06 11:10:00 -0500
TN017_000004,2021-10-06 16:15:00.000,1_275959,29.49,29.49,-0.11,Captured by Sri ,1633536900000,2021-10-06 16:15:00,2021-10-06 11:15:00 -0500
TN069_000494,2021-10-06 18:30:00.000,1_275959,6.42,6.42,0.0,Unknown E-Tape. Captured by Sri. ,1633545000000,2021-10-06 18:30:00,2021-10-06 13:30:00 -0500
TN069_000495,2021-10-06 21:00:00.000,1_275959,6.35,6.35,0.0,Unknown E tape. Captured by Sri.,1633554000000,2021-10-06 21:00:00,2021-10-06 16:00:00 -0500
TN069_000495,2021-10-06 21:00:00.000,1_275959,6.35,6.35,0.0,Unknown E-tape. Captured by Sri.,1633554000000,2021-10-06 21:00:00,2021-10-06 16:00:00 -0500
TN069_000495,2021-10-06 21:00:00.000,1_275959,6.35,6.35,0.0,Unknown E-Tape.Captured by Sri,1633554000000,2021-10-06 21:00:00,2021-10-06 16:00:00 -0500
